#separator:Tab
#html:true
#notetype:Basic
#deck:Egzamin Magisterski ISY
#columns:Front	Back	Tags
#tags column:3

Porównać 'siłę wyrazu' automatu skończonego, automatu ze stosem oraz maszyny Turinga. Jakie klasy języków rozpoznaje każdy z nich?	<b>Automat Skończony (FA)</b>: Języki regularne (Typ 3)<br><br><b>Automat ze Stosem (PDA)</b>: Języki bezkontekstowe (Typ 2)<br><br><b>Maszyna Turinga (TM)</b>: Języki rekurencyjnie przeliczalne (Typ 0)	egzamin_magisterski pyt01 AISDI pytanie_glowne
Wyjaśnij: Algorytmy konsensusu	Stany węzłów: FOLLOWER → CANDIDATE → LEADER	egzamin_magisterski pyt14 AASD szczegoly
Wyjaśnij: Algorytmy koordynacji	1. Wyślij REQUEST(timestamp) do wszystkich	egzamin_magisterski pyt14 AASD szczegoly
Wyjaśnij: Algorytmy uczenia wieloagentowego	Każdy agent uczy się niezależnie:	egzamin_magisterski pyt14 AASD szczegoly
Wyjaśnij: Algorytmy dla aktorów	// One-for-One: restart tylko tego aktora	egzamin_magisterski pyt14 AASD szczegoly
Wyjaśnij: Algorytmy planowania (BDI)	plan1: walk(X,Y) :- distance(X,Y) < 1km	egzamin_magisterski pyt14 AASD szczegoly
Wyjaśnij: Algorytmy formowania koalicji	Sprawiedliwy podział zysków w koalicji:	egzamin_magisterski pyt14 AASD szczegoly
Wyjaśnij: Frameworki architektoniczne	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt15 AIS szczegoly
Wyjaśnij: Notacje i języki modelowania	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt15 AIS szczegoly
Wyjaśnij: ADR (Architecture Decision Records)	System wymaga przechowywania danych użytkowników...	egzamin_magisterski pyt15 AIS szczegoly
Wyjaśnij: Metody analizy architektury	2. Identify quality attribute scenarios	egzamin_magisterski pyt15 AIS szczegoly
Czemu służą wzorce architektoniczne? Jak powstają? Jak są katalogowane? Omówić przykładowe wzorce architektoniczne.	Zasada: Warstwa zna tylko warstwę bezpośrednio niższą	egzamin_magisterski pyt16 AIS pytanie_glowne
Wyjaśnij: Jak powstają wzorce	• <b>Nazwa</b>: - identyfikator<br>• <b>Kontekst</b>: - kiedy stosować<br>• <b>Problem</b>: - co rozwiązuje<br>• <b>Rozwiązanie</b>: - struktura i zachowanie<br>• <b>Konsekwencje</b>: - trade-offs	egzamin_magisterski pyt16 AIS szczegoly
Przedstawić warunki konieczne i dostateczne optymalności różniczkowalnych zadań optymalizacji bez ograniczeń i z ograniczeniami oraz warunki regularności i omówić metody poszukiwania rozwiązań zadań optymalizacji nieliniowej.	<b>Sprawdzenie:</b> Wszystkie wartości własne $\lambda_i > 0 \Rightarrow H \succ 0$<br><br>Jeśli $x^*$ jest minimum i spełnione są warunki regularności:<br><br><b>LICQ:</b> $\{\nabla g_i(x^<i>) : g_i(x^</i>) = 0\} \cup \{\nabla h_j(x^*)\}$ są liniowo niezależne	egzamin_magisterski pyt17 AMO pytanie_glowne
Wyjaśnij: Optymalizacja bez ograniczeń	$$\min_{x \in \mathbb{R}^n} f(x)$$	egzamin_magisterski pyt17 AMO szczegoly
Wyjaśnij: Optymalizacja z ograniczeniami	$$\text{s.t. } g_i(x) \leq 0, \quad i = 1, \ldots, m$$	egzamin_magisterski pyt17 AMO szczegoly
Wyjaśnij: Warunki KKT (Karush-Kuhn-Tucker)	Jeśli $x^*$ jest minimum i spełnione są warunki regularności:	egzamin_magisterski pyt17 AMO szczegoly
Wyjaśnij: Warunki regularności (Constraint Qualification)	Warunki zapewniające, że KKT są konieczne:	egzamin_magisterski pyt17 AMO szczegoly
Wyjaśnij: Warunki dostateczne II rzędu	Jeśli spełnione KKT i dla hesjanu Lagrangianu:	egzamin_magisterski pyt17 AMO szczegoly
Wyjaśnij: Metody optymalizacji nieliniowej	x_{k+1} = x_k - [∇²f(x_k)]^{-1} ∇f(x_k)	egzamin_magisterski pyt17 AMO szczegoly
Omówić metody rozwiązywania zadań liniowych i kwadratowych optymalizacji.	<b>Złożoność:</b> O(2^n) worst-case, ale praktycznie bardzo szybki<br><br><b>Rozwiązanie:</b> $(A^T A)x = A^T b$ (równanie normalne)	egzamin_magisterski pyt18 AMO pytanie_glowne
Wyjaśnij: Programowanie liniowe (LP)	$$\text{s.t. } Ax = b, \quad x \geq 0$$	egzamin_magisterski pyt18 AMO szczegoly
Wyjaśnij: Programowanie kwadratowe (QP)	$$\min \frac{1}{2} x^T Q x + c^T x$$	egzamin_magisterski pyt18 AMO szczegoly
Wyjaśnij: Metody rozwiązywania QP	Idea: Traktuj aktywne ograniczenia jako równości	egzamin_magisterski pyt18 AMO szczegoly
Wyjaśnij: Przypadki szczególne	$$\min \|Ax - b\|_2^2 = \min x^T A^T A x - 2b^T A x + b^T b$$	egzamin_magisterski pyt18 AMO szczegoly
Przedstawić metody wyznaczania cech (parametryzacji) sygnału mowy: MFCC (cechy mel-cepstralne) i LPC (cechy według liniowej predykcji).	- <b>Redukcja wymiarowości:</b> 16kHz × 16bit → ~13-40 cech/ramkę<br><br><b>Typowo:</b> p = 10-16 dla mowy (8kHz), p = 16-20 (16kHz)	egzamin_magisterski pyt19 EASAR pytanie_glowne
Wyjaśnij: Cel parametryzacji mowy	• <b>Redukcja wymiarowości:</b>: 16kHz × 16bit → ~13-40 cech/ramkę<br>• <b>Ekstrakcja informacji fonetycznej</b>: - <b>Usunięcie informacji mówcy</b> (częściowo)<br>• <b>Reprezentacja kompaktowa</b>: dla modeli (HMM, DNN)	egzamin_magisterski pyt19 EASAR szczegoly
Wyjaśnij: MFCC (Mel-Frequency Cepstral Coefficients)	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt19 EASAR szczegoly
Wyjaśnij: LPC (Linear Predictive Coding)	• <b>Dźwięczne:</b>: pobudzenie okresowe (struny głosowe)<br>• <b>Bezdźwięczne:</b>: pobudzenie szumowe	egzamin_magisterski pyt19 EASAR szczegoly
Wyjaśnij: Rozszerzenia	Łączy LPC z percepcją słuchową:	egzamin_magisterski pyt19 EASAR szczegoly
Przedstawić klasyczną metodę rozpoznawania mowy opartą o HMM (Ukryte Modele Markowa). Porównać ją z metodami korzystającymi z głębokich sieci neuronowych.	Każdy stan emituje obserwacje (MFCC) według rozkładu GMM:<br><br>Backtrace: ψ_t(j) = argmax_{i} [α_{t-1}(i) · a_{ij}]	egzamin_magisterski pyt20 EASAR pytanie_glowne
Wyjaśnij: System rozpoznawania mowy - architektura	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt20 EASAR szczegoly
Wyjaśnij: HMM (Hidden Markov Model) - klasyczne podejście	a₁₂ a₂₃ a₃₄	egzamin_magisterski pyt20 EASAR szczegoly
Wyjaśnij: Deep Learning w rozpoznawaniu mowy	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt20 EASAR szczegoly
Jak wykorzystuje się agenta upostaciowionego do specyfikacji sterowników robotów?	<b>Agent upostaciowiony</b> = agent posiadający fizyczne ciało, osadzony w rzeczywistym środowisku, zdolny do:	egzamin_magisterski pyt21 ERPM pytanie_glowne
Wyjaśnij: Agent upostaciowiony (Embodied Agent)	• <b>Percepcji</b>: poprzez sensory<br>• <b>Działania</b>: poprzez efektory<br>• <b>Interakcji</b>: ze środowiskiem	egzamin_magisterski pyt21 ERPM szczegoly
Wyjaśnij: Specyfikacja sterownika robota	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt21 ERPM szczegoly
Wyjaśnij: Formalny model agenta	Agent: Percept* → Action (historia percepcji)	egzamin_magisterski pyt21 ERPM szczegoly
Wyjaśnij: Zastosowanie w ROS (Robot Operating System)	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt21 ERPM szczegoly
Wyjaśnij: Hybrydowa architektura 3T	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt21 ERPM szczegoly
Omówić specjalizowane języki programowania robotów. Uwypuklić ich klasyfikację.	| Cecha | RAPID (ABB) | KRL (KUKA) | Karel (FANUC) |<br><br>move_group = moveit_commander.MoveGroupCommander(&quot;arm&quot;)	egzamin_magisterski pyt22 ERPM pytanie_glowne
Wyjaśnij: Klasyfikacja języków programowania robotów	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt22 ERPM szczegoly
Wyjaśnij: Języki producentów robotów przemysłowych	MoveJ pHome, v1000, z50, tool1;	egzamin_magisterski pyt22 ERPM szczegoly
Wyjaśnij: Języki uniwersalne i frameworki	from geometry_msgs.msg import Twist	egzamin_magisterski pyt22 ERPM szczegoly
Wyjaśnij: Klasyfikacja wg poziomu abstrakcji	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt22 ERPM szczegoly
Przedstawić koncepcję i przeznaczenie zegarów logicznych i wektorów stempli czasowych.	<b>Problem:</b> Nie możemy polegać na zegarach fizycznych - drift, opóźnienia sieciowe, brak atomowej synchronizacji.<br><br>Zdarzenie <b>a</b> happened-before <b>b</b> (a → b) jeśli:<br><br>Jeśli ¬(a → b) ∧ ¬(b → a), to <b>a || b</b> (współbieżne).	egzamin_magisterski pyt23 ERSMS pytanie_glowne
Wyjaśnij: Problem czasu w systemach rozproszonych	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt23 ERSMS szczegoly
Wyjaśnij: Zegar Lamporta (Scalar Clock)	Każdy proces P_i ma licznik C_i:	egzamin_magisterski pyt23 ERSMS szczegoly
Wyjaśnij: Zegary wektorowe (Vector Clocks)	Każdy z N procesów ma wektor V[1..N]:	egzamin_magisterski pyt23 ERSMS szczegoly
Wyjaśnij: Zastosowania	Put(key, value) z vector clock:	egzamin_magisterski pyt23 ERSMS szczegoly
Omówić silne i słabe modele spójności danych w środowisku rozproszonym.	<b>Implementacja:</b> Consensus (Paxos, Raft), single leader<br><br>Niezależne zapisy mogą być widziane w różnej kolejności.	egzamin_magisterski pyt24 ERSMS pytanie_glowne
Wyjaśnij: Problem spójności w systemach rozproszonych	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt24 ERSMS szczegoly
Wyjaśnij: Spektrum modeli spójności	Silne ←─────────────────────────────────────────→ Słabe	egzamin_magisterski pyt24 ERSMS szczegoly
Wyjaśnij: Silne modele spójności	Definicja: Każda operacja wygląda jakby wykonała się atomowo	egzamin_magisterski pyt24 ERSMS szczegoly
Wyjaśnij: Słabe modele spójności	Definicja: Jeśli nie ma nowych zapisów, ostatecznie	egzamin_magisterski pyt24 ERSMS szczegoly
Wyjaśnij: CAP Theorem	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt24 ERSMS szczegoly
Wyjaśnij: Strategie rozwiązywania konfliktów	Konflikt: write(x=1) || write(x=2)	egzamin_magisterski pyt24 ERSMS szczegoly
Wyjaśnij: Definicja MIP (Mixed Integer Programming)	Programowanie całkowitoliczbowe:	egzamin_magisterski pyt25 MOD szczegoly
Wyjaśnij: Branch and Bound (B&B) - metoda dokładna	1. Relaksacja LP: rozwiąż bez ograniczeń całkowitoliczbowych	egzamin_magisterski pyt25 MOD szczegoly
Wyjaśnij: Ulepszenia: Branch and Cut	Branch and Bound + Cutting Planes:	egzamin_magisterski pyt25 MOD szczegoly
Wyjaśnij: Kategorie narzędzi	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt26 MOD szczegoly
Wyjaśnij: Porównanie wydajności (benchmark)	Typowe czasy dla problemów MIPLIB (średnie):	egzamin_magisterski pyt26 MOD szczegoly
Wyjaśnij: Języki modelowania	var produce{PRODUCTS} >= 0 integer;	egzamin_magisterski pyt26 MOD szczegoly
Wyjaśnij: Typowe wymagania sprzętowe	Mały problem (< 1000 zmiennych):	egzamin_magisterski pyt26 MOD szczegoly
Wyjaśnij: Diagnostyka problemów	1. solver.computeIIS() # znajdź konflikt	egzamin_magisterski pyt26 MOD szczegoly
Wyjaśnij: Best practices	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt26 MOD szczegoly
Wyjaśnij: Model danych jako fundament systemu	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt27 MODA szczegoly
Wyjaśnij: Wpływ na różne aspekty projektu	JOIN customers ON orders.customer_name = customers.name -- string comparison!	egzamin_magisterski pyt27 MODA szczegoly
Wyjaśnij: Koszty naprawy złego modelu	Koszt zmiany modelu danych w czasie:	egzamin_magisterski pyt27 MODA szczegoly
Wyjaśnij: Wpływ na jakość danych (GIGO)	│ Złe dane wejść. │ → Zły model → Złe decyzje biznesowe	egzamin_magisterski pyt27 MODA szczegoly
Wyjaśnij: Model danych a architektura aplikacji	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt27 MODA szczegoly
Omówić typowe fazy ewolucji modelu danych i pożądane cechy modelu w każdej z faz.	Brak typów danych, kluczy, atrybutów szczegółowych!<br><br>Encje: Klient, Zamówienie, Produkt, Kategoria, Dostawca, Płatność<br><br>┌────────────────────────┐ ┌────────────────────────┐	egzamin_magisterski pyt28 MODA pytanie_glowne
Wyjaśnij: Przegląd faz ewolucji	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt28 MODA szczegoly
Wyjaśnij: Model konceptualny (Conceptual Data Model)	Diagram ERD (Entity-Relationship) - uproszczony:	egzamin_magisterski pyt28 MODA szczegoly
Wyjaśnij: Model logiczny (Logical Data Model)	ERD szczegółowy (np. Crow's Foot):	egzamin_magisterski pyt28 MODA szczegoly
Wyjaśnij: Model fizyczny (Physical Data Model)	klient_id SERIAL PRIMARY KEY,	egzamin_magisterski pyt28 MODA szczegoly
Wyjaśnij: Transformacje między fazami	┌──────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt28 MODA szczegoly
Wyjaśnij: Ewolucja w czasie (produkcja)	✓ Backward compatible (add, nie remove)	egzamin_magisterski pyt28 MODA szczegoly
Oszacować ilościowo przyśpieszenie wykonania programu sekwencyjnego z fragmentami równoległymi na maszynie wielordzeniowej. Co osłabia to ograniczenie?	$$S_{max} = \lim_{n \to \infty} S(n) = \frac{1}{1-p}$$<br><br><b>Obserwacja:</b> Krzywe szybko się spłaszczają - dodawanie procesorów daje coraz mniejszy zysk.<br><br>┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt29 PORR pytanie_glowne
Wyjaśnij: Prawo Amdahla	$$S(n) = \frac{1}{(1-p) + \frac{p}{n}}$$	egzamin_magisterski pyt29 PORR szczegoly
Wyjaśnij: Wizualizacja ograniczenia	20 ┤ ........... p=99%	egzamin_magisterski pyt29 PORR szczegoly
Co osłabia ograniczenie Amdahla?	Amdahl: Stały problem, więcej procesorów	egzamin_magisterski pyt29 PORR szczegoly
Wyjaśnij: Czynniki zmniejszające rzeczywiste przyśpieszenie	S_real < S_Amdahl ze względu na:	egzamin_magisterski pyt29 PORR szczegoly
Wyjaśnij: Efektywność równoległa	$$E(n) = \frac{S(n)}{n} = \frac{1}{n \cdot (1-p) + p}$$	egzamin_magisterski pyt29 PORR szczegoly
Wyjaśnij: Rozszerzone prawo Amdahla (z overhead)	$$S(n) = \frac{1}{(1-p) + \frac{p}{n} + O(n)}$$	egzamin_magisterski pyt29 PORR szczegoly
Wyjaśnij: Struktura modelu matematycznego	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt30 MOM szczegoly
Wyjaśnij: Metody modelowania	┌─────────────┐ ┌─────────────┐ ┌─────────────┐ ┌─────────────┐	egzamin_magisterski pyt30 MOM szczegoly
Wyjaśnij: Typowe problemy w modelowaniu	Problem: Ile zmiennych? Jakie typy?	egzamin_magisterski pyt30 MOM szczegoly
Wyjaśnij: Techniki modelowania	Problem: xy (iloczyn zmiennych ciągłych)	egzamin_magisterski pyt30 MOM szczegoly
Wyjaśnij: Wielokryterialne podejmowanie decyzji	min f₁(x), f₂(x), ..., f_k(x) ← konfliktujące cele	egzamin_magisterski pyt30 MOM szczegoly
Wyjaśnij: Analiza wrażliwości	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt30 MOM szczegoly
Wyjaśnić główne zagadnienia modelowania matematycznego w systemach decyzyjnych z wykorzystaniem pojęć (nie)wypukłości i (nie)liniowości.	$$S \text{ wypukły} \Leftrightarrow \forall x,y \in S, \forall \lambda \in [0,1]: \lambda x + (1-\lambda)y \in S$$<br><br>$$f \text{ wypukła} \Leftrightarrow f(\lambda x + (1-\lambda)y) \leq \lambda f(x) + (1-\lambda) f(y)$$<br><br>$$\min c^T x \quad \text{s.t.} \quad Ax \leq b, \quad x \geq 0$$	egzamin_magisterski pyt31 MOM pytanie_glowne
Wyjaśnij: Klasyfikacja problemów optymalizacyjnych	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt31 MOM szczegoly
Wyjaśnij: Definicje kluczowe	$$S \text{ wypukły} \Leftrightarrow \forall x,y \in S, \forall \lambda \in [0,1]: \lambda x + (1-\lambda)y \in S$$	egzamin_magisterski pyt31 MOM szczegoly
Wyjaśnij: Znaczenie wypukłości	Problem │ Złożoność │ Gwarancja	egzamin_magisterski pyt31 MOM szczegoly
Wyjaśnij: Liniowość vs nieliniowość	$$\min c^T x \quad \text{s.t.} \quad Ax \leq b, \quad x \geq 0$$	egzamin_magisterski pyt31 MOM szczegoly
Wyjaśnij: Testowanie wypukłości	1. HESJAN: H = ∇²f(x) ≽ 0 (dodatnio półokreślony) dla wszystkich x	egzamin_magisterski pyt31 MOM szczegoly
Wyjaśnij: Problemy niewypukłe	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt31 MOM szczegoly
Wyjaśnij: Dualność	Primal (P): Dual (D):	egzamin_magisterski pyt31 MOM szczegoly
Podać definicję komunikacji synchronicznej i asynchronicznej oraz blokującej i nieblokującej. Jak uniknąć zakleszczenia, gdy dwa symetryczne procesy (np. realizujące algorytm iteracyjny Jacobiego) mają w kodzie następujące po sobie wywołania funkcji wysyłającej komunikat do partnera i odbierającej komunikat wysłany przez niego?	| Funkcja MPI | Blokująca? | Synchroniczna? | Opis |<br><br>MPI_Irecv(from=partner, data_in, &req_recv); // Nieblokujące recv	egzamin_magisterski pyt32 PORR pytanie_glowne
Wyjaśnij: Definicje podstawowe	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt32 PORR szczegoly
Wyjaśnij: Problem zakleszczenia (Deadlock)	// DEADLOCK! - oba procesy czekają na siebie nawzajem	egzamin_magisterski pyt32 PORR szczegoly
Wyjaśnij: Rozwiązania problemu zakleszczenia	// Proces 0: // Proces 1:	egzamin_magisterski pyt32 PORR szczegoly
Wyjaśnij: Algorytm Jacobiego - pełny przykład	// Iteracyjne rozwiązanie równania Laplace'a	egzamin_magisterski pyt32 PORR szczegoly
Wyjaśnij: Wzorce komunikacji	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt32 PORR szczegoly
Scharakteryzować model przesyłania komunikatów publikuj-subskrybuj oraz przykładowe rozwiązania techniczne wykorzystujące ten model.	channel.queue_bind(exchange='logs', queue=queue_name)<br><br>| Cecha | Kafka | RabbitMQ | MQTT | Redis Pub/Sub |<br><br>2. CQRS (Command Query Responsibility Segregation):	egzamin_magisterski pyt33 PSD pytanie_glowne
Wyjaśnij: Definicja modelu Pub/Sub	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt33 PSD szczegoly
Wyjaśnij: Wildcardy (MQTT)	home/living-room/# → wszystko z living-room	egzamin_magisterski pyt33 PSD szczegoly
Wyjaśnij: Gwarancje dostarczenia	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt33 PSD szczegoly
Wyjaśnij: Rozwiązania techniczne	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt33 PSD szczegoly
Wyjaśnij: Zalety i wady Pub/Sub	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt33 PSD szczegoly
Wyjaśnij: Wzorce użycia	[Service] ─publish─→ [Kafka] ←─consume─ [Projections]	egzamin_magisterski pyt33 PSD szczegoly
Scharakteryzować rozwiązania analityczne działające na danych o charakterze strumieniowym.	KStream<String, String> source = builder.stream(&quot;input-topic&quot;);<br><br>| Cecha | Kafka Streams | Flink | Spark Streaming |<br><br>Query(x): min(h1[hash1(x)], h2[hash2(x)], h3[hash3(x)])	egzamin_magisterski pyt34 PSD pytanie_glowne
Wyjaśnij: Charakterystyka danych strumieniowych	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt34 PSD szczegoly
Wyjaśnij: Modele przetwarzania	Event Time: Kiedy zdarzenie faktycznie nastąpiło	egzamin_magisterski pyt34 PSD szczegoly
Wyjaśnij: Platformy Stream Processing	StreamsBuilder builder = new StreamsBuilder();	egzamin_magisterski pyt34 PSD szczegoly
Wyjaśnij: Algorytmy strumieniowe	Problem: Zlicz unikalne elementy w strumieniu	egzamin_magisterski pyt34 PSD szczegoly
Wyjaśnij: Obsługa opóźnień i Out-of-Order	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt34 PSD szczegoly
Wyjaśnij: Exactly-Once Semantics	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt34 PSD szczegoly
Na czym polega specyfika modelowania matematycznego układów cyber-fizycznych? Podać przykłady współpracy agentów w sieci i problemów w osiąganiu pożądanego zachowania układu.	┌─────────────────────────────────────────────────────────────────┐<br><br>┌─────────────────────────────────────────────────────────────────┐<br><br>Szybkość zbieżności ~ λ₂(L) (algebraic connectivity)	egzamin_magisterski pyt35 SIU pytanie_glowne
Wyjaśnij: Definicja układów cyber-fizycznych (CPS)	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt35 SIU szczegoly
Wyjaśnij: Specyfika modelowania CPS	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt35 SIU szczegoly
Wyjaśnij: Współpraca agentów w sieci	Problem: Agenty mają osiągnąć wspólną wartość	egzamin_magisterski pyt35 SIU szczegoly
Wyjaśnij: Problemy w osiąganiu pożądanego zachowania	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt35 SIU szczegoly
Wyjaśnij: Warunki zbieżności consensus	Twierdzenie: Protokół consensus ẋ = -Lx zbiega do consensus ⟺	egzamin_magisterski pyt35 SIU szczegoly
Omówić ogólny algorytm, elementy składowe oraz własności uczenia się ze wzmocnieniem.	$$V^\pi(s) = \mathbb{E}_\pi \left[ \sum_{t=0}^{\infty} \gamma^t r_t \mid s_0 = s \right]$$<br><br>$$Q^\pi(s,a) = \mathbb{E}_\pi \left[ \sum_{t=0}^{\infty} \gamma^t r_t \mid s_0 = s, a_0 = a \right]$$<br><br>Q<i>(s,a) = R(s,a) + γ Σ_s' P(s'|s,a) max_a' Q</i>(s',a')	egzamin_magisterski pyt36 SIU pytanie_glowne
Wyjaśnij: Model uczenia ze wzmocnieniem	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt36 SIU szczegoly
Wyjaśnij: Markov Decision Process (MDP)	P: P(s'|s,a) - prawdopodobieństwa przejść	egzamin_magisterski pyt36 SIU szczegoly
Wyjaśnij: Funkcje wartości	$$V^\pi(s) = \mathbb{E}_\pi \left[ \sum_{t=0}^{\infty} \gamma^t r_t \mid s_0 = s \right]$$	egzamin_magisterski pyt36 SIU szczegoly
Wyjaśnij: Algorytmy	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt36 SIU szczegoly
Wyjaśnij: Klasyfikacja algorytmów	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt36 SIU szczegoly
Wyjaśnij: Własności i wyzwania	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt36 SIU szczegoly
Wyjaśnij: Właściwości rzeczywistych sieci	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt37 TASS szczegoly
Wyjaśnij: Model Erdős-Rényi (Random Graph)	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt37 TASS szczegoly
Wyjaśnij: Model Watts-Strogatz (Small-World)	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt37 TASS szczegoly
Wyjaśnij: Model Barabási-Albert (Scale-Free)	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt37 TASS szczegoly
Wyjaśnij: Porównanie zbiorcze	┌──────────────┬───────────────┬───────────────┬───────────────┐	egzamin_magisterski pyt37 TASS szczegoly
Wyjaśnij: Modele rozszerzone	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt37 TASS szczegoly
Wyjaśnij: Grafy dwudzielne (Bipartite Graphs)	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt38 TASS szczegoly
Wyjaśnij: Projekcja grafu dwudzielnego	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt38 TASS szczegoly
Wyjaśnij: Metody projekcji	P = B · Bᵀ (dla projekcji na U)	egzamin_magisterski pyt38 TASS szczegoly
Wyjaśnij: Zastosowanie w grupowaniu dokumentów	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt38 TASS szczegoly
Wyjaśnij: Algorytmy grupowania na projekcji	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt38 TASS szczegoly
Scharakteryzować problem segmentacji obrazu. Przedstawić podstawowe strategie i algorytmy segmentacji przy użyciu metod klasycznych oraz sieci neuronowych.	┌──────────────────┐ Threshold ┌──────────────────┐<br><br>| Architektura | mIoU (ADE20K) | Parametry | Cechy |	egzamin_magisterski pyt39 TWM pytanie_glowne
Wyjaśnij: Definicja problemu segmentacji	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt39 TWM szczegoly
Wyjaśnij: Metody klasyczne	pixel_out = 255 if pixel_in > T else 0	egzamin_magisterski pyt39 TWM szczegoly
Wyjaśnij: Metody deep learning	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt39 TWM szczegoly
Wyjaśnij: Loss functions	Problem: class imbalance (dużo tła, mało obiektów)	egzamin_magisterski pyt39 TWM szczegoly
Opisać problem detekcji obiektów w obrazach. Przedstawić podstawowe strategie i algorytmy detekcji przy użyciu metod klasycznych oraz sieci neuronowych. Jak skonstruować detektor obiektów dysponując istniejącym klasyfikatorem tych obiektów?	┌─────────────────────────────────────────────────────────────────┐<br><br>┌─────────────────────────────────────────────────────────────────┐<br><br>┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt40 TWM pytanie_glowne
Wyjaśnij: Definicja problemu detekcji	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt40 TWM szczegoly
Wyjaśnij: Metody Deep Learning	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt40 TWM szczegoly
Wyjaśnij: Konstrukcja detektora z klasyfikatora	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt40 TWM szczegoly
Wyjaśnij: Non-Maximum Suppression (NMS)	Problem: Wiele overlapping detections	egzamin_magisterski pyt40 TWM szczegoly
Przedstawić metody interaktywne wspomagania decyzji w warunkach ryzyka.	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt41 WDWR pytanie_glowne
Wyjaśnij: Decyzje w warunkach ryzyka	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt41 WDWR szczegoly
Wyjaśnij: Metody interaktywne - przegląd	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt41 WDWR szczegoly
Wyjaśnij: Metoda loterii (Lottery Method)	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt41 WDWR szczegoly
Wyjaśnij: Metoda pewnego ekwiwalentu (Certainty Equivalent)	CE (Certainty Equivalent) = pewna kwota równoważna loterii	egzamin_magisterski pyt41 WDWR szczegoly
